year,month,calls,date
2017,1,6543,2017-01-01
2017,2,6698,2017-02-01
2017,3,7247,2017-03-01
2017,4,6000,2017-04-01
2017,5,6451,2017-05-01
2017,6,7174,2017-06-01
2017,7,6313,2017-07-01
2017,8,6013,2017-08-01
2017,9,5714,2017-09-01
2017,10,5019,2017-10-01
2017,11,5136,2017-11-01
2017,12,4112,2017-12-01
2018,1,7271,2018-01-01
2018,2,7012,2018-02-01
2018,3,7662,2018-03-01
2018,4,7607,2018-04-01
2018,5,6433,2018-05-01
2018,6,5749,2018-06-01
2018,7,4761,2018-07-01
2018,8,5029,2018-08-01
2018,9,4105,2018-09-01
2018,10,3999,2018-10-01
2018,11,3976,2018-11-01
2018,12,5118,2018-12-01
2019,1,6278,2019-01-01
2019,2,4777,2019-02-01
2019,3,4833,2019-03-01
2019,4,5177,2019-04-01
2019,5,4413,2019-05-01
2019,6,4772,2019-06-01
2019,7,4987,2019-07-01
2019,8,4531,2019-08-01
2019,9,3899,2019-09-01
2019,10,4236,2019-10-01
2019,11,4132,2019-11-01
2019,12,5000,2019-12-01
2020,1,5638,2020-01-01
2020,2,6322,2020-02-01
2020,3,5089,2020-03-01
2020,4,3151,2020-04-01
2020,5,3259,2020-05-01
2020,6,3418,2020-06-01
2020,7,4328,2020-07-01
2020,8,5508,2020-08-01
2020,9,5597,2020-09-01
2020,10,5840,2020-10-01
2020,11,5796,2020-11-01
2020,12,5105,2020-12-01
2021,1,5320,2021-01-01
2021,2,5653,2021-02-01
2021,3,6858,2021-03-01
2021,4,5854,2021-04-01
2021,5,5532,2021-05-01
2021,6,6218,2021-06-01
2021,7,6024,2021-07-01
2021,8,5562,2021-08-01
2021,9,5385,2021-09-01
2021,10,5716,2021-10-01
2021,11,7102,2021-11-01
2021,12,5932,2021-12-01
2022,1,6428,2022-01-01
2022,2,5728,2022-02-01
2022,3,6271,2022-03-01
2022,4,6053,2022-04-01
2022,5,5616,2022-05-01
2022,6,6632,2022-06-01
2022,7,7456,2022-07-01
2022,8,7541,2022-08-01
2022,9,6739,2022-09-01
2022,10,6499,2022-10-01
2022,11,6902,2022-11-01
2022,12,7088,2022-12-01
