analysis_neighborhood,y2019,y2020,pct_change,irr_2020_vs_2019
Bayview Hunters Point,47,194,312.8,4.1
Western Addition,40,152,280.0,3.8
West of Twin Peaks,21,66,214.3,3.1
Excelsior,30,86,186.7,2.9
Inner Sunset,22,61,177.3,2.8
Oceanview/Merced/Ingleside,25,65,160.0,2.6
Nob Hill,69,179,159.4,2.6
Inner Richmond,22,55,150.0,2.5
Sunset/Parkside,46,110,139.1,2.4
Castro/Upper Market,63,147,133.3,2.3
Haight Ashbury,47,108,129.8,2.3
Marina,60,136,126.7,2.3
Outer Richmond,45,98,117.8,2.2
Tenderloin,87,189,117.2,2.2
Bernal Heights,42,91,116.7,2.2
South of Market,141,240,70.2,1.7
Hayes Valley,65,109,67.7,1.7
Russian Hill,48,79,64.6,1.6
Mission,283,463,63.6,1.6
Noe Valley,33,49,48.5,1.5
North Beach,27,39,44.4,1.4
Outer Mission,30,40,33.3,1.3
Pacific Heights,49,65,32.7,1.3
Potrero Hill,63,69,9.5,1.1
Chinatown,33,24,-27.3,0.7
Financial District/South Beach,188,85,-54.8,0.5
Mission Bay,124,44,-64.5,0.4
